audio_file,chunk_num,transcription,begin_secs,end_secs
podcasts/lex_ai_demis_hassabis.mp3,0,THE FOLLOWING IS A CONVERSATION WITH DEMIS ASABIS C O AND COFFANDER OF DEEP MIND A COMPANY THAT HAS PUBLISHED AND BUILT SOME OF THE MOST INCREDI,0.0,9.9906875
podcasts/lex_ai_demis_hassabis.mp3,1,BAU ARTIFICIAL INTELLIGENT SYSTEMS IN THE HISTORY OF COMPUTING INCLUDING ALPHRET ZERO THAT LEARNED ALL BY ITSELF TO PLAY THE GAME OF GO BETTER THAN ANY,9.9906875,19.981375
podcasts/lex_ai_demis_hassabis.mp3,2,UMAN IN THE WORLD AND ALFOFOLD TOO THAT SOLVED PROTINE FOLDING BOTH TASKS CONSIDERED NEARLY IMPOSSIBLE FOR A VERY LONG TIME,19.981375,29.9720625
podcasts/lex_ai_demis_hassabis.mp3,3,DAMIS IS WIDELY CONSIDERED TO BE ONE OFTHE MOST BRILLIANT AND IMPACTFUL HUMANS IN THE HISTORY OF ARTIFICIAL INTELLIGENCE AND SCIENCE IN ENGINEERING,29.9720625,39.96275
podcasts/lex_ai_demis_hassabis.mp3,4,E GENERAL THIS WAS TRULY AN HONOR AND A PLEASURE FOR ME TO FINALLY SIT DOWN WITH HIM FOR THIS CONVERSATION AND I'M SURE WE WILL TALK MANY TIMES AGAIN IN THE,39.96275,49.9534375
podcasts/lex_ai_demis_hassabis.mp3,5,FUTURE AND NOW A QUICKFEW SECOND MENTION OF EACH SPONSOR CHECK THEM ALL IN THE DESCRIPTION IT'S THE BEST WAY TO SUPPORT THIS POTCAS WE GOT MAIL GUN FOR EMAIL C,49.9534375,59.944125
podcasts/lex_ai_demis_hassabis.mp3,6,AMPAGNES INCITRAC OF FOR LONGEVITY ON IT FOR SUPPLEMENTS INDEED FOR HIRING AND MAGIC SPOON FOR BREAKFAST SHE'S WISE THY MY FRIENDS AND NOW,59.944125,69.93481249999999
podcasts/lex_ai_demis_hassabis.mp3,7,ON TO THE POLATERIDES AS ALWAYS NOADS IN THE MIDDLE I TRY TO MAKE THESE INTERESTING BUT IF YOU SKIP THEM PLEASE DON' CHECK OUT OUR SPONSORS I ENJOY THEIR STUFF MAYBE YOU WILL TOO,69.93481249999999,79.9255
podcasts/lex_ai_demis_hassabis.mp3,8,HIS SHOW IS BROUGHT TO BY MAIL GON BY SENCH AN EMAL DELIVERY SERVICE THAT HAVE USED FOR MANY MANY YEARS OF AN A P E THAT ALLOWS YOU TO PROGRAMMATICALLY SEND E,79.9255,89.9161875
podcasts/lex_ai_demis_hassabis.mp3,9,MILLS IF YOU DON'T KNOW WHAT ANA PIA IS THE POINT IS IS A WAY FOR PROGRAMMES FOR CODE TO INTERACT WITH THE SERVICE,89.9161875,99.90687500000001
podcasts/lex_ai_demis_hassabis.mp3,10,YOU HAVE AN A P A FOR BOTH TRANSACTIONAL AND MARKETING EMALES THOSE ARE TERMS USED BY PEOPLE MUCH SMARTER ABOUT THE STUFF THAN ME BUT I THINK TRANSAC,99.90687500000001,109.89756250000002
podcasts/lex_ai_demis_hassabis.mp3,11,CTUAL MEANS SPECIFIC TO THE PERSON EMALS WHICH IS WHAT I'VE I GUESS USED IT'S A WAY TO EMALE CERTAIN PEOPLE TO NOTIFY HIM ABOUT THE STATUS OF WHATEVER THE HECTERE DO,109.89756250000002,119.88825000000003
podcasts/lex_ai_demis_hassabis.mp3,12,ON THE WEBSIDE AND THEN THERE'S MARKTAIN EMALS WICHES WHEN YOU SEND AND EMAL TO A LOT OF PEOPLE LIKE THE SAME EMAL I GUESS TRANSACTIONAL IS SUPERCUSTOMIZED,119.88825000000003,129.87893750000003
podcasts/lex_ai_demis_hassabis.mp3,13,TO AN ACTION THAT A PERSON TOOK AND MARKETING IS LIKE A PUSH EMAL THESE CENTRAL LOT OF PEOPLE AND BOTH OF THOSE TWO CATEGORIS OF HOW PEOPLE OFTEN USE,129.87893750000003,139.86962500000004
podcasts/lex_ai_demis_hassabis.mp3,14,EMAIL AND SO MAIL GUN IS A SERVICE THAT MAKES IT SUPER EASY FOR YOU TO DO THAT KIND OF THING YOUAN GO TO LEX FREEDMAN THAT CAM SLASH MAIL GUN TO LEARN MORE,139.86962500000004,149.86031250000005
podcasts/lex_ai_demis_hassabis.mp3,15,THIS SHOW IS ALSO BROUGHT TO BY INSIDE TRACKER A SERVICE I USED TO TRACK BY LOGICAL DATA DATA THAT COMES FROM MY BODY A LO,149.86031250000005,159.85100000000006
podcasts/lex_ai_demis_hassabis.mp3,16,T OF THEIR PLANS THEY CAN SEND OUT FORINCLUDE BLOOD TESTS WHY BLOOD TESTS BECAUSE A LOT OF REALLY USEFUL DATA COMES FROM YOUR BLOOD AND THEN THEY USE MACHIE LEARNING HOWKETHEMS,159.85100000000006,169.84168750000006
podcasts/lex_ai_demis_hassabis.mp3,17,TO ANALYZE THAT DATA SO THAT INCLUDES BLOOD DATA DEINADATA AND EVEN DATA FROM YOUR FITNESS TRACKER TO PROVIDE YOUR CLEAR PICTURE WAS GONE ON INSIDE YO,169.84168750000006,179.83237500000007
podcasts/lex_ai_demis_hassabis.mp3,18,OUR BODY THIS IS THE FUTURE ANYTHING YOU DECIDE TO DO IN YOUR LIFE SHOULD BE BASED ON DATO FROM YOUR ENPTITY FROM YOUR BEING THAT MEANS YOUR BIOLOGICAL BODY,179.83237500000007,189.82306250000008
podcasts/lex_ai_demis_hassabis.mp3,19,MAYBE ONE DAY THAT MEANS FROM YOUR BRAIN AS WELL THERE BE A BRAIN COMPUTER INTO FAZE THE VICE LIKE NURA LENGTH THAT COLLECTS DATA FROM YOUR BRAIN,189.82306250000008,199.81375000000008
podcasts/lex_ai_demis_hassabis.mp3,20,AND IS ABLE TO MAKE SUGGESTIONS OF WHAT CON O SUPPLEMENTS TO TAKE WHAT CON O DIE CHANGES TO MAKE YOU CAN GO TO INSIDE TRAKADA CONSLASH,199.81375000000008,209.8044375000001
podcasts/lex_ai_demis_hassabis.mp3,21,LEC AND FOR A LIMITED TIME YOU GET SPECIAL SAVINGS FOR BEING A LISTENER OF THIS VERY POCKGAST THIS EPISODE IS ALSO BROUGHT YOU BY ONIT A NUTRITIAN SUPPLEMENT AND FITNESS CO,209.8044375000001,219.7951250000001
podcasts/lex_ai_demis_hassabis.mp3,22,MPANY THEY HAVE A THING CALLED ALPHA BRAIN WHICH IS IN EUTROPIC THAT HELPS YOU WITH A MEMORY METAL SPEED AND FOCUS YOU MIGHT KNOW IT BECAUSE OF A MISTER JOE,219.7951250000001,229.7858125000001
